Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,1,Travel_Rarely,1102.0,Sales,1,2,Life Sciences,2,0,94,3,2,Sales Executive,4,Single,5993.0,19479.0,8,1,11,3,1,0,8,1,1,6,4,0,5
49,0,Travel_Frequently,279.0,Research & Development,8,1,Life Sciences,3,1,61,2,2,Research Scientist,2,Married,5130.0,24907.0,1,0,22,4,4,1,10,3,3,10,7,1,7
37,1,Travel_Rarely,1373.0,Research & Development,2,2,Other,4,1,92,2,1,Laboratory Technician,3,Single,2097.9,3384.55,6,1,15,3,2,0,7,3,3,1,0,0,0
33,0,Travel_Frequently,1392.0,Research & Development,3,4,Life Sciences,4,0,56,3,1,Research Scientist,3,Married,2909.0,23159.0,1,1,11,3,3,0,8,3,3,8,7,3,0
27,0,Travel_Rarely,591.0,Research & Development,2,1,Medical,1,1,40,3,1,Laboratory Technician,2,Married,3468.0,16632.0,8,0,12,3,4,1,6,3,3,2,2,2,2
32,0,Travel_Frequently,1005.0,Research & Development,2,2,Life Sciences,4,1,79,3,1,Laboratory Technician,4,Single,3068.0,11864.0,0,0,13,3,3,0,8,2,2,7,7,3,6
54,0,Travel_Rarely,1324.0,Research & Development,3,3,Medical,3,0,81,4,1,Laboratory Technician,1,Married,2670.0,9964.0,4,1,20,4,1,3,12,3,2,1,0,0,0
30,0,Travel_Rarely,1358.0,Research & Development,24,1,Life Sciences,4,1,67,3,1,Laboratory Technician,3,Divorced,2693.0,13335.0,1,0,22,4,2,1,1,2,3,1,0,0,0
38,0,Travel_Frequently,216.0,Research & Development,23,3,Life Sciences,4,1,44,2,3,Manufacturing Director,3,Single,9526.0,8787.0,0,0,21,4,2,0,10,2,3,9,7,1,8
36,0,Travel_Rarely,1299.0,Research & Development,26,3,Medical,3,1,94,3,2,Healthcare Representative,3,Married,5237.0,16577.0,6,0,13,3,2,2,17,3,2,7,7,7,7
35,0,Travel_Rarely,809.0,Research & Development,16,3,Medical,1,1,84,4,1,Laboratory Technician,2,Married,2426.0,16479.0,0,0,13,3,3,1,6,5,3,5,4,0,3
29,0,Travel_Rarely,165.35000000000002,Research & Development,15,2,Life Sciences,4,0,49,2,2,Laboratory Technician,3,Single,4193.0,12682.0,0,1,12,3,4,0,10,3,3,9,5,0,8
31,0,Travel_Rarely,670.0,Research & Development,26,1,Life Sciences,1,1,33,3,1,Research Scientist,3,Divorced,2911.0,15170.0,1,0,17,3,4,1,5,1,2,5,2,4,3
34,0,Travel_Rarely,1346.0,Research & Development,19,2,Medical,2,1,93,3,1,Laboratory Technician,4,Divorced,2661.0,8758.0,0,0,11,3,3,1,3,2,3,2,2,1,2
28,1,Travel_Rarely,165.35000000000002,Research & Development,24,3,Life Sciences,3,1,50,2,1,Laboratory Technician,3,Single,2097.9,12947.0,5,1,14,3,2,0,6,4,3,4,2,0,3
29,0,Travel_Rarely,1389.0,Research & Development,21,4,Life Sciences,2,0,51,4,3,Manufacturing Director,1,Divorced,9980.0,10195.0,1,0,11,3,3,1,10,1,3,10,9,8,8
32,0,Travel_Rarely,334.0,Research & Development,5,2,Life Sciences,1,1,80,4,1,Research Scientist,2,Divorced,3298.0,15053.0,0,1,12,3,4,2,7,5,2,6,2,0,5
24,0,Non-Travel,1123.0,Research & Development,16,2,Medical,4,1,96,4,1,Laboratory Technician,4,Divorced,2935.0,7324.0,1,1,13,3,2,2,1,2,2,1,0,0,0
53,0,Travel_Rarely,1219.0,Sales,2,4,Life Sciences,1,0,78,2,4,Manager,4,Married,15427.0,22021.0,2,0,16,3,3,0,28,3,3,20,8,3,7
38,0,Travel_Rarely,371.0,Research & Development,2,3,Life Sciences,4,1,45,3,1,Research Scientist,4,Single,3944.0,4306.0,5,1,11,3,3,0,6,3,3,3,2,1,2
24,0,Non-Travel,673.0,Research & Development,11,2,Other,1,0,96,4,2,Manufacturing Director,3,Divorced,4011.0,8232.0,0,0,18,3,4,1,5,5,2,4,2,1,3
36,1,Travel_Rarely,1218.0,Sales,9,4,Life Sciences,3,1,82,2,1,Sales Representative,1,Single,3407.0,6986.0,7,0,22,4,2,0,10,4,3,5,3,0,3
34,0,Travel_Rarely,419.0,Research & Development,7,4,Life Sciences,1,0,53,3,3,Research Director,2,Single,11994.0,21293.0,0,0,11,3,3,0,13,4,3,12,6,2,10
